topic number,label,keywords
0,기록 응용 자동 블록체인 활용 중앙,블록체인 가능 분야 거래 비용 본고 연구 계약 기대 중앙
1,인공지능 제휴 산업 업계 금융 업계,활용 기관 산업 변화 기업 데이터 인공지능 비즈니스 분야 발전
2,바탕 기능 소비자 구축 서비스 제공,시스템 시장 필요 혁신 경제 제공 영향 중요 정보 효율
3,업자 법률 암호화폐 법 미국,암호화폐 법 자산 감독 규제 암호 미국 보호 업자 사법
4,현금 전자 결제 촉진 민간 디지털 통화,은행 현금 검토 세계 무현금 제도 이용 나라 정책 추진
5,발행 중앙은행 디지털 디지털 통화 통화 발행 중앙은행,통화 디지털 발행 중앙은행 국제 사용 각국 확인 운영 증권
6,스마트폰 정보 오픈 금융 비즈니스 핵심,고객 정보 상품 그룹 사용 방식 은행 스마트폰 진보 영향
7,자금 세탁 세탁 방식 보호 정부,규제 가상자산 경쟁 참가 거래 영국 개선 정부 보호 자금
8,한국은행 결과 지급결제 제도 지급결제 제도 변화,지급결제 분석 연구 제도 카드 변화 정책 지급 효과 제시
9,사법 토큰 업자 청구 기술 이용,거래 검토 가상화폐 이용 법 대장 적용 규제 국제 법률
